# a  alpha_K  alpha_B  alpha_M  alpha_T
3.436276155043785255e-04 2.264608660000000013e-20 5.755891310000000074e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.505833768623775821e-04 2.418643950000000092e-20 6.147398400000000315e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.576799377774736379e-04 2.582928590000000076e-20 6.564955999999999873e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.649201483352664021e-04 2.758118550000000091e-20 7.010231320000000575e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.723069163132121926e-04 2.944932190000000097e-20 7.485050220000000280e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.798432083484316489e-04 3.144135719999999825e-20 7.991360169999999553e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.875324386614007171e-04 3.356507420000000262e-20 8.531139259999999760e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.953769279870199813e-04 3.582925309999999701e-20 9.106619159999999904e-21 0.000000000000000000e+00 0.000000000000000000e+00
4.033802066335853546e-04 3.824269229999999796e-20 9.720036119999999973e-21 0.000000000000000000e+00 0.000000000000000000e+00
4.115454888381748859e-04 4.081547879999999761e-20 1.037395390000000032e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.198760539009319115e-04 4.355741960000000299e-20 1.107086520000000013e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.283752475020814830e-04 4.647974139999999715e-20 1.181362340000000036e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.370464830456059183e-04 4.959387409999999964e-20 1.260513370000000074e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.458932430301196779e-04 5.291234019999999797e-20 1.344857870000000046e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.549190804474913599e-04 5.644805540000000476e-20 1.434724140000000112e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.641276202097814239e-04 6.021517099999999661e-20 1.530471839999999970e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.735225606050593198e-04 6.422852590000000002e-20 1.632478139999999922e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.831076747826924312e-04 6.850389309999999432e-20 1.741143930000000107e-20 0.000000000000000000e+00 0.000000000000000000e+00
4.928873051557582053e-04 7.305803769999999930e-20 1.856895330000000023e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.028644033759303161e-04 7.790877820000000478e-20 1.980185220000000067e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.130434595038299789e-04 8.307505159999999651e-20 2.111494919999999941e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.234285616014965796e-04 8.857698299999999629e-20 2.251335939999999989e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.340238804821299205e-04 9.443632119999999888e-20 2.400261069999999953e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.448336713851512428e-04 1.006754770000000038e-19 2.558839899999999884e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.558622756851723480e-04 1.073186010000000027e-19 2.727686310000000052e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.671141226355548874e-04 1.143917960000000027e-19 2.907463680000000006e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.785937311472680224e-04 1.219224110000000025e-19 3.098867180000000197e-20 0.000000000000000000e+00 0.000000000000000000e+00
5.903057116037490780e-04 1.299395109999999897e-19 3.302635520000000119e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.022547677125034702e-04 1.384739780000000080e-19 3.519553650000000244e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.144456983941842029e-04 1.475580659999999984e-19 3.750441310000000027e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.268840265936240826e-04 1.572277280000000035e-19 3.996212370000000097e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.395735064007882159e-04 1.675194810000000010e-19 4.257794909999999806e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.525198485476279469e-04 1.784726799999999884e-19 4.536189260000000111e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.657282524798693478e-04 1.901298600000000083e-19 4.832476469999999747e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.792040228911927231e-04 2.025355779999999910e-19 5.147789069999999999e-20 0.000000000000000000e+00 0.000000000000000000e+00
6.929525718536775182e-04 2.157363589999999928e-19 5.483309569999999949e-20 0.000000000000000000e+00 0.000000000000000000e+00
7.069794209913727798e-04 2.297832180000000082e-19 5.840334580000000591e-20 0.000000000000000000e+00 0.000000000000000000e+00
7.212902036978617202e-04 2.447295869999999922e-19 6.220222179999999833e-20 0.000000000000000000e+00 0.000000000000000000e+00
7.358906673987213607e-04 2.606322330000000033e-19 6.624415200000000121e-20 0.000000000000000000e+00 0.000000000000000000e+00
7.507866758597721507e-04 2.775525119999999908e-19 7.054473119999999453e-20 0.000000000000000000e+00 0.000000000000000000e+00
7.659842115420554013e-04 2.955535789999999997e-19 7.512001099999999849e-20 0.000000000000000000e+00 0.000000000000000000e+00
7.814893780044804847e-04 3.147035080000000010e-19 7.998729380000000336e-20 0.000000000000000000e+00 0.000000000000000000e+00
7.973084023551027305e-04 3.350758740000000044e-19 8.516528000000000294e-20 0.000000000000000000e+00 0.000000000000000000e+00
8.134484512000727825e-04 3.567477350000000144e-19 9.067355539999999407e-20 0.000000000000000000e+00 0.000000000000000000e+00
8.299143958689152948e-04 3.798009620000000108e-19 9.653292829999999836e-20 0.000000000000000000e+00 0.000000000000000000e+00
8.467136466414665243e-04 4.043225319999999871e-19 1.027655060000000039e-19 0.000000000000000000e+00 0.000000000000000000e+00
8.638529503495058189e-04 4.304064640000000230e-19 1.093951849999999909e-19 0.000000000000000000e+00 0.000000000000000000e+00
8.813391903951861344e-04 4.581495180000000069e-19 1.164465580000000047e-19 0.000000000000000000e+00 0.000000000000000000e+00
8.991793895155122431e-04 4.876578240000000251e-19 1.239466000000000017e-19 0.000000000000000000e+00 0.000000000000000000e+00
9.173807126027750487e-04 5.190406020000000442e-19 1.319230709999999959e-19 0.000000000000000000e+00 0.000000000000000000e+00
9.359504695820840010e-04 5.524197000000000158e-19 1.404069409999999972e-19 0.000000000000000000e+00 0.000000000000000000e+00
9.548961183471404643e-04 5.879187800000000102e-19 1.494296410000000090e-19 0.000000000000000000e+00 0.000000000000000000e+00
9.742252677554405450e-04 6.256711589999999722e-19 1.590250559999999920e-19 0.000000000000000000e+00 0.000000000000000000e+00
9.939456806841075881e-04 6.658209499999999924e-19 1.692298140000000112e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.014065277147576782e-03 7.085164829999999799e-19 1.800816159999999949e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.034593172071052603e-03 7.539232400000000195e-19 1.916225219999999961e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.055535561107446771e-03 8.022091950000000094e-19 2.038952250000000049e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.076901869100964490e-03 8.535554560000000408e-19 2.169457580000000098e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.098700677082256345e-03 9.081578050000000818e-19 2.308238810000000218e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.120940739780473165e-03 9.662177960000000115e-19 2.455808240000000189e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.143630989139294641e-03 1.027960269999999959e-18 2.612737340000000128e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.166780537904136454e-03 1.093617539999999962e-18 2.779616540000000088e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.190398683281963842e-03 1.163428009999999995e-18 2.957051829999999873e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.214494910675189112e-03 1.237666089999999954e-18 3.145740630000000088e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.239078897491152371e-03 1.316606660000000020e-18 3.346381640000000101e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.264160517028716131e-03 1.400546170000000068e-18 3.559728279999999947e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.289749842443523985e-03 1.489805070000000005e-18 3.786595089999999924e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.315857150793540119e-03 1.584713520000000051e-18 4.027821189999999793e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.342494269660063659e-03 1.685639679999999978e-18 4.284342330000000233e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.369669238559259161e-03 1.792964159999999990e-18 4.557125910000000458e-19 0.000000000000000000e+00 0.000000000000000000e+00
1.397394287225170667e-03 1.907084790000000105e-18 4.847183060000000404e-19 0.000000000000000000e+00 0.000000000000000000e+00
