# weight H0_light H0_matter omega_cdm logA F_arithmetic F_weighted
1.000000000000000000e+00 6.577931300000000192e+01 7.522389243461175568e+01 1.189257100000000039e-01 2.879048399999999841e+00 7.050160271730587169e+01 6.592845315904357051e+01
1.000000000000000000e+00 6.577931300000000192e+01 7.446521814867863043e+01 1.189257100000000039e-01 2.879048399999999841e+00 7.012226557433930907e+01 6.591647286871410927e+01
1.000000000000000000e+00 6.577931300000000192e+01 7.294849172160100181e+01 1.189257100000000039e-01 2.879048399999999841e+00 6.936390236080049476e+01 6.589252211239657697e+01
1.000000000000000000e+00 6.577931300000000192e+01 7.297086330642376595e+01 1.189257100000000039e-01 2.879048399999999841e+00 6.937508815321189104e+01 6.589287538399979383e+01
1.000000000000000000e+00 6.558735500000000229e+01 7.476377866561111318e+01 1.199202199999999940e-01 2.839575700000000147e+00 7.017556683280555774e+01 6.573226068843382564e+01
1.000000000000000000e+00 6.543060400000000243e+01 7.343710703286788544e+01 1.203092099999999998e-01 2.839139199999999974e+00 6.943385551643393683e+01 6.555703537198134256e+01
1.000000000000000000e+00 6.543060400000000243e+01 7.385516841804958688e+01 1.203092099999999998e-01 2.839139199999999974e+00 6.964288620902479465e+01 6.556363701495629925e+01
1.000000000000000000e+00 6.543060400000000243e+01 7.109480568773432196e+01 1.203092099999999998e-01 2.839139199999999974e+00 6.826270484386716930e+01 6.552004789174893062e+01
1.000000000000000000e+00 6.543060400000000243e+01 7.165630392515049607e+01 1.203092099999999998e-01 2.839139199999999974e+00 6.854345396257525636e+01 6.552891455828613232e+01
1.000000000000000000e+00 6.543060400000000243e+01 7.454627984891807557e+01 1.203092099999999998e-01 2.839139199999999974e+00 6.998844192445903900e+01 6.557455041448140776e+01
1.000000000000000000e+00 6.543060400000000243e+01 6.993593412822716004e+01 1.203092099999999998e-01 2.839139199999999974e+00 6.768326906411357413e+01 6.550174805215389995e+01
1.000000000000000000e+00 6.547691500000000531e+01 7.082699256672979971e+01 1.199962799999999968e-01 2.874216500000000174e+00 6.815195378336490251e+01 6.556139853097369041e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.173849243626092687e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.861051271813046526e+01 6.558132138880584705e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.166616849354147689e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.857435074677073317e+01 6.558017931526042332e+01
1.000000000000000000e+00 6.548253300000000365e+01 6.892527997258217454e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.720390648629108910e+01 6.553689771095325511e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.199834303358917964e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.874043801679459875e+01 6.558542471174165200e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.228669903247786976e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.888461601623893671e+01 6.558997816590370178e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.313639257005731054e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.930946278502865709e+01 6.560339574899570891e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.139796915558517298e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.844025107779259542e+01 6.557594415664959797e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.211620391804537178e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.879936845902268772e+01 6.558728586301624830e+01
1.000000000000000000e+00 6.548253300000000365e+01 7.205455192529007036e+01 1.199342500000000061e-01 2.872029599999999849e+00 6.876854246264502990e+01 6.558631231114254945e+01
1.000000000000000000e+00 6.590513199999999472e+01 7.403214510243708446e+01 1.185708399999999968e-01 2.988258899999999940e+00 6.996863855121853248e+01 6.603346635676390974e+01
1.000000000000000000e+00 6.590513199999999472e+01 7.145899355515238938e+01 1.185708399999999968e-01 2.988258899999999940e+00 6.868206277757619205e+01 6.599283350130833981e+01
1.000000000000000000e+00 6.590513199999999472e+01 7.109478621329391501e+01 1.185708399999999968e-01 2.988258899999999940e+00 6.849995910664695487e+01 6.598708227212279098e+01
